"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"REFDES";"SPICEPREFIX";"TYPE";
"C1";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C2";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C5";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C6";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C9";"470p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C10";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C11";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C12";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C13";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C14";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C15";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C16";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C17";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C18";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C19";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C20";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C21";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C22";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C23";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C24";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
